time,open,high,low,close,tick_volume,spread,real_volume
2025-08-07 05:48:00,114652.39,114653.02,114600.57,114609.39,405,980,0
2025-08-07 05:49:00,114609.52,114647.63,114588.35,114640.59,362,980,0
2025-08-07 05:50:00,114641.44,114643.93,114590.38,114595.07,361,980,0
2025-08-07 05:51:00,114593.03,114604.21,114574.42,114581.25,342,980,0
2025-08-07 05:52:00,114580.86,114589.83,114553.69,114553.69,351,980,0
2025-08-07 05:53:00,114550.19,114579.87,114541.79,114574.55,398,980,0
2025-08-07 05:54:00,114577.21,114611.16,114577.21,114596.82,341,980,0
2025-08-07 05:55:00,114596.83,114610.18,114583.91,114605.05,386,980,0
2025-08-07 05:56:00,114606.15,114640.26,114584.86,114630.0,382,980,0
2025-08-07 05:57:00,114627.42,114655.17,114594.44,114596.32,367,980,0
2025-08-07 05:58:00,114595.76,114635.44,114594.65,114631.66,358,980,0
2025-08-07 05:59:00,114631.36,114663.91,114612.27,114657.02,396,980,0
2025-08-07 06:00:00,114658.24,114665.25,114620.75,114623.14,366,980,0
2025-08-07 06:01:00,114623.1,114640.85,114614.34,114639.27,367,980,0
2025-08-07 06:02:00,114640.01,114698.39,114630.38,114691.56,379,980,0
2025-08-07 06:03:00,114690.15,114716.18,114678.67,114710.18,374,980,0
2025-08-07 06:04:00,114709.68,114736.12,114680.83,114690.27,401,980,0
2025-08-07 06:05:00,114689.3,114691.55,114662.34,114672.25,403,980,0
2025-08-07 06:06:00,114669.01,114680.57,114637.19,114663.53,410,980,0
2025-08-07 06:07:00,114663.52,114716.74,114662.76,114701.46,400,980,0
2025-08-07 06:08:00,114701.46,114734.64,114701.41,114725.18,374,980,0
2025-08-07 06:09:00,114725.28,114752.08,114724.76,114735.88,411,980,0
2025-08-07 06:10:00,114735.88,114735.88,114687.93,114719.09,422,980,0
2025-08-07 06:11:00,114719.68,114756.04,114719.22,114745.7,392,980,0
2025-08-07 06:12:00,114745.69,114814.03,114733.06,114735.78,403,980,0
2025-08-07 06:13:00,114735.61,114787.37,114732.55,114782.76,387,980,0
2025-08-07 06:14:00,114783.96,114784.1,114743.83,114747.4,395,980,0
2025-08-07 06:15:00,114747.41,114757.33,114673.16,114704.22,390,980,0
